epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3009.51,0.8889,0.56397,1.06737,0.03835,0.23935,0.01146,0.00484,1.06,5.9192,1.13244,0.000371185,0.000371185,0.000371185
58,3061.77,0.90092,0.57058,1.06825,0.04247,0.14944,0.01338,0.00629,1.09043,5.97329,1.15919,0.000362938,0.000362938,0.000362938
59,3115.59,0.91195,0.57329,1.07089,0.04048,0.20327,0.01304,0.00613,1.07878,6.22692,1.14217,0.000354691,0.000354691,0.000354691
60,3167.59,0.87444,0.5484,1.04447,0.03985,0.10163,0.01406,0.00731,1.08227,6.04076,1.13323,0.000346445,0.000346445,0.000346445
61,3221.99,0.89628,0.5646,1.06556,0.04042,0.21479,0.00668,0.00296,1.09373,6.34043,1.16441,0.000338198,0.000338198,0.000338198
62,3273.9,0.88611,0.55763,1.06167,0.03265,0.14211,0.0082,0.00373,1.04924,5.97459,1.12846,0.000329951,0.000329951,0.000329951
63,3327.03,0.87494,0.53736,1.05189,0.02517,0.09825,0.00401,0.00196,1.05984,6.17748,1.13257,0.000321705,0.000321705,0.000321705
64,3379.85,0.87501,0.54447,1.05215,0.04158,0.08333,0.01238,0.00589,1.05897,5.93987,1.127,0.000313458,0.000313458,0.000313458
65,3434.03,0.86905,0.5243,1.0427,0.04604,0.12281,0.01001,0.00481,1.07687,6.30944,1.12177,0.000305211,0.000305211,0.000305211
66,3487.31,0.86839,0.53069,1.05033,0.03904,0.13321,0.00893,0.00517,1.06099,6.60007,1.11343,0.000296964,0.000296964,0.000296964
67,3539.66,0.86619,0.52029,1.03792,0.04068,0.08114,0.01074,0.00586,1.07738,6.17905,1.13972,0.000288718,0.000288718,0.000288718
68,3593.88,0.83751,0.50018,1.02308,0.03151,0.08728,0.00611,0.00255,1.06479,6.22616,1.13995,0.000280471,0.000280471,0.000280471
69,3645.47,0.85426,0.50421,1.03509,0.03882,0.07368,0.00931,0.004,1.07847,6.23282,1.1381,0.000272224,0.000272224,0.000272224
70,3699.58,0.83039,0.4922,1.01705,0.037,0.16096,0.00738,0.00335,1.0515,6.17305,1.11671,0.000263978,0.000263978,0.000263978
71,3751.7,0.85646,0.50569,1.03777,0.03255,0.12544,0.00995,0.00458,1.06343,6.15152,1.13583,0.000255731,0.000255731,0.000255731
72,3804.52,0.81715,0.48637,1.01853,0.0338,0.17281,0.01232,0.00528,1.05411,6.46885,1.12209,0.000247484,0.000247484,0.000247484
73,3857.42,0.83911,0.49107,1.02262,0.03747,0.12237,0.0103,0.00485,1.03767,6.1217,1.1185,0.000239238,0.000239238,0.000239238
74,3909.84,0.82222,0.49112,1.03068,0.0329,0.1557,0.00531,0.00213,1.02916,6.51893,1.12509,0.000230991,0.000230991,0.000230991
75,3964.11,0.81531,0.46914,1.01572,0.04013,0.13289,0.0114,0.00489,1.05111,5.96847,1.12278,0.000222744,0.000222744,0.000222744
76,4016.06,0.80139,0.47354,0.9998,0.0396,0.11447,0.00749,0.00335,1.03019,6.42867,1.11579,0.000214497,0.000214497,0.000214497
77,4070.46,0.7855,0.46263,0.99459,0.04472,0.07588,0.01168,0.00493,1.03917,6.39353,1.11847,0.000206251,0.000206251,0.000206251
78,4122.99,0.80633,0.46888,1.01071,0.03461,0.0636,0.00599,0.0026,1.00884,6.43377,1.09955,0.000198004,0.000198004,0.000198004
79,4176.84,0.78069,0.45804,1.00613,0.04401,0.05921,0.00664,0.00305,1.02042,6.58088,1.11176,0.000189757,0.000189757,0.000189757
80,4229.18,0.77191,0.45577,1.00097,0.03702,0.06272,0.00655,0.00308,1.01788,6.56072,1.11394,0.000181511,0.000181511,0.000181511
81,4282.38,0.79006,0.46353,0.99596,0.03555,0.16184,0.00841,0.00323,1.01404,6.69401,1.12299,0.000173264,0.000173264,0.000173264
82,4336.35,0.77717,0.44782,0.99701,0.03103,0.03553,0.00775,0.00347,1.01868,6.41143,1.11346,0.000165017,0.000165017,0.000165017
83,4388.9,0.76415,0.4313,0.98308,0.03412,0.1136,0.00716,0.00269,1.02033,6.77564,1.10368,0.000156771,0.000156771,0.000156771
84,4442.54,0.74918,0.43142,0.99676,0.03682,0.11096,0.0072,0.00283,1.03288,6.63439,1.11721,0.000148524,0.000148524,0.000148524
85,4494.42,0.77135,0.4347,0.98478,0.03702,0.11184,0.00723,0.00311,1.01926,6.70973,1.11682,0.000140277,0.000140277,0.000140277
86,4548.31,0.74834,0.42681,0.99016,0.03791,0.03509,0.00853,0.00394,1.00629,6.61869,1.11357,0.000132031,0.000132031,0.000132031
87,4601.19,0.727,0.42559,0.9897,0.03593,0.07149,0.00895,0.00402,1.00559,6.60481,1.10733,0.000123784,0.000123784,0.000123784
88,4656.16,0.75194,0.42463,0.97971,0.03799,0.11623,0.00801,0.00358,1.0108,6.72547,1.106,0.000115537,0.000115537,0.000115537
89,4709.1,0.72503,0.41971,0.98236,0.04104,0.10921,0.00634,0.00264,1.01357,7.0413,1.11088,0.00010729,0.00010729,0.00010729
90,4762.57,0.72653,0.39888,0.98144,0.03811,0.11184,0.00745,0.00331,0.99943,6.83822,1.10547,9.90437e-05,9.90437e-05,9.90437e-05
91,4820.71,0.71078,0.37091,0.95949,0.03773,0.04518,0.01187,0.00543,1.00822,6.46847,1.10303,9.0797e-05,9.0797e-05,9.0797e-05
92,4873.55,0.6825,0.36018,0.94395,0.04181,0.0364,0.01056,0.00478,1.00847,6.77999,1.10575,8.25503e-05,8.25503e-05,8.25503e-05
93,4927.8,0.68306,0.35882,0.95265,0.03894,0.03553,0.00801,0.00377,1.00701,7.0015,1.10753,7.43036e-05,7.43036e-05,7.43036e-05
94,4980.38,0.6718,0.34606,0.95462,0.03413,0.03114,0.00683,0.00326,1.02585,6.9891,1.12008,6.60569e-05,6.60569e-05,6.60569e-05
95,5033.76,0.66361,0.34975,0.94441,0.03943,0.07939,0.00788,0.00366,1.02305,7.10265,1.12228,5.78102e-05,5.78102e-05,5.78102e-05
96,5086.52,0.67808,0.35372,0.94838,0.0482,0.07982,0.00886,0.00403,1.0251,7.12003,1.11677,4.95635e-05,4.95635e-05,4.95635e-05
97,5140.43,0.66845,0.34609,0.93963,0.04456,0.0807,0.00889,0.00384,1.02088,7.11304,1.11016,4.13168e-05,4.13168e-05,4.13168e-05
98,5193.32,0.63808,0.33141,0.92388,0.04394,0.07982,0.00844,0.00356,1.00584,7.22454,1.10216,3.30701e-05,3.30701e-05,3.30701e-05
99,5248.53,0.65247,0.34482,0.94073,0.04481,0.08289,0.00931,0.00403,1.01699,7.16678,1.10783,2.48234e-05,2.48234e-05,2.48234e-05
100,5301.18,0.65422,0.33791,0.93595,0.04597,0.08158,0.00929,0.00414,1.01469,7.16518,1.1105,1.65767e-05,1.65767e-05,1.65767e-05
