epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1504.75,0.77257,0.47879,0.9843,0.0314,0.10678,0.00718,0.00313,1.30837,6.35408,1.2526,0.000296964,0.000296964,0.000296964
67,1527.42,0.74879,0.45555,0.96584,0.02689,0.09096,0.00369,0.0014,1.28648,6.34042,1.23981,0.000288718,0.000288718,0.000288718
68,1549.85,0.73109,0.44281,0.97315,0.02739,0.08192,0.00283,0.00103,1.29376,6.75313,1.23237,0.000280471,0.000280471,0.000280471
69,1572.31,0.75226,0.45645,0.98911,0.03944,0.09266,0.00549,0.00213,1.3004,6.58973,1.24686,0.000272224,0.000272224,0.000272224
70,1595.11,0.72962,0.43438,0.95764,0.02573,0.05424,0.00334,0.00126,1.31018,6.72539,1.25461,0.000263978,0.000263978,0.000263978
71,1617.58,0.72291,0.44686,0.96626,0.0212,0.08814,0.00317,0.00101,1.32873,6.80696,1.2761,0.000255731,0.000255731,0.000255731
72,1640.03,0.72752,0.43502,0.95128,0.02452,0.12429,0.00367,0.00126,1.32398,6.69734,1.27634,0.000247484,0.000247484,0.000247484
73,1662.4,0.6894,0.41908,0.94913,0.02805,0.08983,0.00342,0.00119,1.29831,6.55635,1.26051,0.000239238,0.000239238,0.000239238
74,1684.95,0.70056,0.43015,0.94877,0.04775,0.15,0.00865,0.00329,1.30672,6.40904,1.26801,0.000230991,0.000230991,0.000230991
75,1707.48,0.70192,0.42112,0.94888,0.04609,0.14935,0.00534,0.00213,1.31985,6.54887,1.27796,0.000222744,0.000222744,0.000222744
76,1730.14,0.6747,0.40851,0.93892,0.04195,0.14709,0.0054,0.00238,1.30916,6.41266,1.26774,0.000214497,0.000214497,0.000214497
77,1752.72,0.69028,0.42518,0.95575,0.04723,0.07167,0.00737,0.00356,1.28734,6.5212,1.2484,0.000206251,0.000206251,0.000206251
78,1775.38,0.67432,0.40523,0.93892,0.03656,0.08757,0.005,0.00218,1.2886,6.59844,1.24354,0.000198004,0.000198004,0.000198004
79,1798.25,0.67976,0.41284,0.9502,0.03594,0.08418,0.00331,0.00121,1.29984,6.80742,1.24878,0.000189757,0.000189757,0.000189757
80,1820.68,0.65995,0.38848,0.9204,0.02923,0.08531,0.00319,0.00112,1.3027,6.71052,1.25039,0.000181511,0.000181511,0.000181511
81,1843.2,0.66265,0.39186,0.90988,0.03291,0.09379,0.00482,0.00168,1.27489,6.56768,1.23438,0.000173264,0.000173264,0.000173264
82,1865.7,0.66934,0.3904,0.93427,0.03385,0.09266,0.00466,0.00163,1.27232,6.61574,1.2459,0.000165017,0.000165017,0.000165017
83,1888.13,0.64956,0.387,0.94124,0.03092,0.08475,0.00336,0.00133,1.28284,6.66199,1.24568,0.000156771,0.000156771,0.000156771
84,1911.66,0.66034,0.38704,0.93962,0.02888,0.08305,0.00281,0.00103,1.28383,6.69898,1.25169,0.000148524,0.000148524,0.000148524
85,1934.24,0.64106,0.38073,0.92943,0.02909,0.08644,0.00311,0.00118,1.29034,6.7718,1.24627,0.000140277,0.000140277,0.000140277
86,1956.33,0.63894,0.3726,0.93424,0.03876,0.09435,0.00583,0.0023,1.3156,6.74898,1.26205,0.000132031,0.000132031,0.000132031
87,1978.57,0.64059,0.37473,0.92356,0.04806,0.09887,0.00816,0.00356,1.32319,6.72172,1.26619,0.000123784,0.000123784,0.000123784
88,2001,0.64227,0.38096,0.92259,0.04618,0.09322,0.00664,0.00322,1.28741,6.89942,1.25177,0.000115537,0.000115537,0.000115537
